"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"Allen Hurns","WR","JAC",2550353,1991-11-21,11.0123636922438,9.5,11.907,1.20521960841547,41,0.563348516068142,9,2,"35.3","4.0",3.64296934726633
"Allen Robinson","WR","JAC",2543509,1993-08-24,17.3550087412587,12.4281730769231,18.713907651715,2.42085241357339,8,0.185239917893618,5,2,"3.4","2.1",6.89789972780356
"Alonzo Harris","RB","FA",2553533,1992-11-09,0,0,0,,141,0,31,1,,,
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,15.9529806049284,10.6348194546794,19.0520259706814,3.09044866236109,18,0.233402582198909,6,4,,,7.10952528154217
"Amari Cooper","WR","OAK",2552487,1994-06-18,17.3217958528913,14.2092052194543,20.8655371490862,4.03965716205731,9,0.355818600569602,5,1,"15.4","3.7",5.3043608950917
"Ameer Abdullah","RB","DET",2552374,1993-06-13,3.26100412654745,0,4.59601009973541,3.47555115878313,78,0.102984238125533,19,1,,,8.27735730898469
"Andre Caldwell","WR","DET",206,1985-04-15,0.287600934759674,0,0.612973694064782,0.521912036128985,174,0.0454514007776278,40,8,,,3.88003098375677
"Andre Debose","WR","FA",2553453,,0,0,0,0,186,0,64,1,,,3.2238161073909
"Andre Ellington","RB","ARI",2539217,1989-02-03,4.37714694365834,2.90189504373178,6.24080523255814,1.50198819188225,63,0.240020648385757,15,3,"63.8","9.4",7.15619643166466
"Andre Holmes","WR","OAK",2495453,1988-06-16,3.46879691459385,1.96,4.42627906976744,1.1412931453826,109,0.148406779682548,30,5,"101.6","5.6",4.60709779771732
"Andre Johnson","WR","TEN",2505551,1981-07-11,7.29395254937341,5.37,8.73744727150194,1.54064943943774,70,0.0158005818181364,15,13,"73.0","6.9",5.34023085387419
"Andre Roberts","WR","DET",497320,1988-01-09,3.24915852602078,0.85,5.75190926256515,2.75661856673747,111,0.179885338075373,30,6,"105.7","5.0",5.50207713257821
"Andre Williams","RB","FA",2543565,1992-08-28,0,0,0,0,141,0,31,2,,,3.20636812017905
"Andrew Franks","K","MIA",2553648,1993-01-11,5.9711359306832,3.5,7.40710407564766,1.4879251555986,28,1.78462052329146,10,1,"28.1","2.9",4.0002016666325
"Andrew Hawkins","WR","CLE",2508097,1986-03-10,6.98415507560358,4.58009396262979,8.54417428578773,1.66756673858775,79,0.227938151917145,17,5,"82.3","6.1",5.09863786807447
"Andrew Luck","QB","IND",2533031,1989-09-12,17.8155231641204,14.64,19.770117388397,2.07553305287399,12,0.240657310219817,8,4,"8.7","2.3",4.91074239239978
"Andrew Quarless","TE","FA",497258,1988-10-06,0.508602150537634,0,0.862093023255814,0.777817459305202,84,0.00868513853461705,23,6,,,4.45930696001356
"Andrew Turzilli","WR","FA",2553829,1991-10-13,0,0,0,,186,0,44,1,,,
"Andy Dalton","QB","CIN",2495143,1987-10-29,16.1204197230696,13.128,18.1719760609544,2.11840512465621,18,0.0423173943520361,10,5,"19.1","3.7",6.35143585480539
"Andy Janovich","RB","DEN",2555432,1993-05-23,0.954264637881092,0.02,1.77602906976744,0.924662046364966,109,0.0628543312992107,22,0,"79.3","1.8",4.09450393694295
"Anquan Boldin","WR","DET",2505587,1980-10-03,11.1473309577719,8.48288067916924,13.8681879723891,2.32844191229722,36,0.0155051017145951,9,13,,,6.15143247917662
"Anthony Dable","WR","FA",2555573,1988-09-25,0,0,0,0,186,0,44,0,,,3.2238161073909
"Anthony Dixon","RB","FA",497172,1987-09-24,0,0,0,0,141,0,34,6,,,3.20636812017905
"Anthony Fasano","TE","TEN",2495835,1984-04-20,2.05544007726547,0.05,4.76040794615719,2.98282797590306,59,0.100452120988481,20,10,"52.5","2.5",6.39646666228945
"Anthony McCoy","TE","FA",497250,1987-12-28,1.20544704264099,0,1.95978658051815,1.42433007953921,69,0.0978264647354739,22,6,,,5.67401323095381
"Anthony Sherman","RB","KC",2495340,1988-12-11,0.193608850777433,0,0.362978723404255,0.164470609384698,130,0.0393313902639794,27,5,,,3.44633831309605
"Antone Smith","RB","NYJ",89798,1985-09-17,0,0,0,0,141,0,31,7,,,3.20636812017905
"Antonio Andrews","RB","TEN",2550474,1992-08-17,1.20749088771311,0,2.45804231006406,1.8421223914158,102,0.120633114560669,22,2,"71.0","7.8",6.9451113306851
"Antonio Brown","WR","PIT",2508061,1988-07-10,23.6863313273606,16.8343144483068,26.1113203699775,3.15872320218814,1,5.25980929352746,1,6,"1.0","0.1",7.000218689276
"Antonio Gates","TE","SD",2505299,1980-06-18,8.85821694293266,5.90284256559767,10.460676079116,1.84672718491247,17,0.450278627251933,7,13,"17.3","2.7",4.58574393907037
"Antwan Goodley","WR","FA",2554138,1991-09-06,0,0,0,,186,0,44,1,,,
"Arian Foster","RB","MIA",79555,1986-08-24,10.7458410046412,8.343125,11.987851498046,1.45535831218938,26,0.0576655111509279,7,7,,,5.32980291649915
"Arrelious Benn","WR","JAC",497270,1988-09-08,0.436582524271845,0.34,0.482275,0.0778367255594254,165,0.0311749429534203,37,6,,,3.32168244061162
"Asante Cleveland","TE","SD",2550454,1992-03-21,0,0,0,0,107,0,32,2,,,2.9978973666125
"Austin Davis","QB","DEN",2533349,1989-06-02,0.00122128851540616,0,0.00191926605504587,0.00176436169471252,71,0.00122128851540616,34,4,,,3.86196308574066
"Austin Hooper","TE","ATL",2555415,1994-10-29,2.90910083327564,2.1990538573508,3.11504941860465,0.416628259113517,51,0.122922489209757,18,0,"32.6","3.2",5.66651419759854
"Austin Johnson","RB","FA",2534437,1989-06-16,0,0,0,0,141,0,31,3,,,3.20636812017905
"Austin Seferian-Jenkins","TE","NYJ",2543683,1992-09-29,4.27306303780407,2.94,5.5797247706422,1.57804769224513,37,0.107684291469,14,2,,,5.96282700235437
"Austin Willis","WR","FA",2553858,1992-04-13,0,0,0,,186,0,44,1,,,
"B.J. Daniels","QB","FA",2541429,1989-10-24,0,0,0,0,73,0,38,3,,,3.86028075587479
"B.J. Daniels","WR","FA",2541429,1989-10-24,0,0,0,0,186,0,44,3,,,3.2238161073909
"Bear Pascoe","TE","NE",79625,1986-02-23,0,0,0,0,107,0,28,7,,,2.9978973666125
"Bears","DST","CHI",100005,,8.24010739675663,5.4,13.5863530504595,3.91580358576661,6,0.190444996340688,5,46,"16.9","5.3",7.96232765732363
"Ben Braunecker","TE","CHI",2556478,1994-02-07,0.373510106324344,0,0.587447266071837,0.339522970691206,89,0.0467296361995003,24,0,,,3.63581326913207
"Ben Koyack","TE","JAC",2552396,1993-04-09,0.295972762645914,0,0.4262525,0.208612020281235,96,0.0474250106702961,26,1,,,3.38985000805886
"Ben Roethlisberger","QB","PIT",2506109,1982-03-02,20.5370011498879,18.7818340521454,22.2895235,1.45493859778037,3,0.0729141414335359,3,12,"3.5","1.7",4.14145403024938
"Bengals","DST","CIN",100006,,6.2167249926486,4.11412268188302,9.74356235278506,4.05464417351179,25,0.0808858451015251,14,46,"19.4","4.2",4.8643320848303
"Benjamin Watson","TE","BAL",2506122,1980-12-18,0,0,0,0,107,0,28,12,,,2.9978973666125
"Bennie Fowler","WR","DEN",2550198,1991-06-10,2.48931370018626,1.59,3.29212790697674,0.804935687624392,118,0.147560148823653,33,2,,,4.23588468633124
"Benny Cunningham","RB","LA",2541544,1990-07-07,4.44565677315683,2.39154768703598,5.65813953488372,1.42564476113077,61,0.0361316702343029,15,3,"69.5","6.9",6.35426829062855
"Bernard Pierce","RB","FA",2533545,1991-05-10,0,0,0,0,141,0,31,4,,,3.20636812017905
"Bilal Powell","RB","NYJ",2495328,1988-10-27,8.86270936737737,5.13,10.7598690014721,2.35302310493617,35,0.454402318269425,9,5,"35.2","4.0",4.90691580144022
"Bills","DST","BUF",100003,,6.7080332267006,5.11412268188302,11.0521670039479,4.0013528558835,21,0.130659036101213,13,46,"3.2","2.7",4.2118873299969
"Billy Cundiff","K","FA",2504941,1980-03-30,0,0,0,,34,0,13,14,,,
"Bishop Sankey","RB","FA",2543682,1992-09-15,0,0,0,0,141,0,31,2,,,3.20636812017905
"Blaine Gabbert","QB","SF",2495441,1989-10-15,7.19826228269085,0.16,16.4295009174312,8.54891743144232,32,0.619603117501904,16,5,,,12.011726776748
"Blair Walsh","K","MIN",2532968,1990-01-08,3.53976244253073,0,7.06195718654434,5.89729197625963,30,1.64239585251804,12,4,,,11.5068495100785
"Blake Annen","TE","FA",2550278,1991-05-28,0,0,0,,107,0,28,2,,,
"Blake Bell","TE","SF",2552478,1991-08-07,1.12571962471055,0.05,1.82192660550459,0.784801573314246,70,0.106058418300325,22,1,"55.0","2.5",4.33157545107808
"Blake Bortles","QB","JAC",2543477,1991-12-16,18.9564163591045,15.64,20.2273647840532,1.65313024824555,8,0.549642383298416,7,2,"10.6","2.9",5.18277856263675
"Bobby Rainey","RB","NYG",2534571,1987-10-16,6.59700628371722,0.33,9.14385142349439,3.17514369248285,44,0.545848589106916,11,4,"42.7","5.5",6.88433419250737
"Brad Sorensen","QB","MIN",2539312,1988-03-13,0,0,0,0,73,0,38,3,,,3.86028075587479
"Bradley Marquez","WR","LA",2553725,1992-12-14,1.07094196111821,0.37,1.73790697674419,0.864546846701774,148,0.0438544129516871,35,1,"123.0","1.0",5.59812470321137
"Branden Oliver","RB","SD",2550658,1991-05-07,0,0,0,0,141,0,31,2,,,3.20636812017905
"Brandin Cooks","WR","NO",2543498,1993-09-25,15.8631345273556,11.3734416348957,18.034417144657,2.97630395408471,19,0.317808706615669,6,2,"13.6","4.0",4.75638675716837
"Brandon Bolden","RB","NE",2532797,1990-01-26,1.59695533239751,0,3.98738372093023,2.00640329918613,96,0.017834832686989,22,4,,,6.13380292799213
"Brandon Bostick","TE","NYJ",2536342,1989-05-03,0.624093270465153,0.18,1.01455566326531,0.481045704645478,81,0.0941688909280893,23,4,,,3.90171457876565
"Brandon Coleman","WR","NO",2550328,1992-06-22,3.48934181115688,1.02,5.00061467889908,1.46438808238669,107,0.0120594941505465,30,2,"91.9","5.7",6.57781348249111
"Brandon Gibson","WR","NE",81288,1987-08-13,0.244630681818182,0,0.507859674728941,0.373531129140025,175,0.0242661857149237,40,7,,,3.69346744087126
"Brandon LaFell","WR","CIN",497302,1986-11-04,8.58091532104468,5.73,10.4037441860465,1.87603273044309,55,0.0972537737294363,12,6,"54.4","6.7",5.47072900002097
"Brandon Marshall","WR","NYJ",2495893,1984-03-23,17.0177417938389,13.04,20.6119175277935,3.49517248131518,10,0.204887926194978,5,10,"11.3","4.9",5.92620690526286
"Brandon McManus","K","DEN",2541556,1991-07-25,8.9372767438519,6.44108008913357,10.6364804591024,2.32080524588281,6,0.0445281435710445,3,2,"10.4","3.3",4.77227374643872
"Brandon Myers","TE","TB",89766,1985-09-04,0,0,0,0,107,0,28,7,,,2.9978973666125
"Brandon Pettigrew","TE","DET",71431,1985-02-23,0.922077028885832,0,1.3299415931586,0.975871425638651,73,0.0850138565142086,22,7,,,4.83142250325346
"Brandon Tate","WR","BUF",81306,1987-10-05,0.814380016061111,0.19,1.44225046930942,0.968700985613657,153,0.0309005537762018,35,7,,,4.44179146244262
"Brandon Weeden","QB","HOU",2532970,1983-10-14,0,0,0,0,73,0,38,4,,,3.86028075587479
"Brandon Wegher","RB","FA",2553618,1990-12-09,0,0,0,0,141,0,31,1,,,3.20636812017905
"Brandon Williams","TE","SEA",2539645,1987-10-12,0.318279569892473,0,0.34443,0.176510268989454,91,0.00621625935520609,24,4,,,3.32953533301326
"Braxton Miller","WR","HOU",2555348,1992-11-30,3.69337351962943,2.56607947805457,4.49767355609507,1.04650231977677,104,0.167527317978704,29,0,,,4.53961329705218
"Brent Celek","TE","PHI",2507218,1985-01-25,2.68749652184303,0.03,4.22574923547401,1.60077982681698,53,0.0856197453856185,19,9,"38.1","8.7",6.22944518410227
"Brenton Bersin","WR","CAR",2535966,1990-05-09,0.459198250728863,0,0.830552325581395,0.395236647640898,163,0.0137611839161869,37,3,,,3.72075840784177
"Breshad Perriman","WR","BAL",2552597,1993-09-10,7.0954763437448,1.56,10.5136750789105,3.73285159953088,76,0.027956511966293,17,1,"72.6","9.5",8.36546941927963
"Brett Hundley","QB","GB",2552588,1993-06-15,0.0939424649859944,0,0.184868085106383,0.116968366909547,62,0.0319524089635854,28,1,,,3.97181082230239
"Brian Hartline","WR","FA",81831,1986-11-22,0,0,0,0,186,0,44,7,,,3.2238161073909
"Brian Hoyer","QB","CHI",81294,1985-10-31,15.2540712855544,3.866,18.8337472049355,5.3020615039544,26,1.29834997663247,13,7,"16.3","3.3",7.39583592602046
"Brian Parker","TE","FA",2553840,1992-05-30,0,0,0,0,107,0,28,1,,,2.9978973666125
"Brian Quick","WR","LA",2532933,1989-06-05,6.60571054833088,2.37,7.76480909128745,2.00033902679055,81,0.148561204692899,17,4,"66.1","7.4",5.70956660161822
"Brian Tyms","WR","FA",2535522,1989-02-21,0,0,0,,186,0,44,4,,,
"Brice Butler","WR","DAL",2541388,1990-01-29,8.13660232118932,2.4,12.3461756342062,4.13770366710953,62,0.217186131475573,14,3,"62.8","9.9",8.66015810955077
"Brittan Golden","WR","ARI",2535988,1988-07-20,0,0,0,0,186,0,51,4,,,3.2238161073909
"Brock Osweiler","QB","HOU",2533436,1990-11-22,16.6642081490288,14.172,18.161500792326,1.62381405596167,15,0.32791197789723,9,4,"23.5","3.3",5.64221999954935
"Broncos","DST","DEN",100009,,8.56678639096864,5.0619341563786,14.7879734219269,5.46979027726393,4,0.283449380262589,4,46,"3.2","2.4",5.65995020760872
"Browns","DST","CLE",100007,,6.6625317809724,4.81412268188302,9.97821351557576,3.32272998664923,22,0.18455380388487,13,46,"24.0","4.0",4.01805056079067
"Bruce Ellington","WR","SF",2543646,1991-08-22,0,0,0,0,186,0,44,2,,,3.2238161073909
"Bruce Gradkowski","QB","PIT",2495838,1983-01-27,0,0,0,0,73,0,38,10,,,3.86028075587479
"Bruce Miller","RB","FA",2495314,1987-08-06,0,0,0,,141,0,31,5,,,
"Bryan Walters","WR","JAC",2528181,1987-11-04,0.719579806506371,0,1.58858349371524,0.825850623338444,156,0.0425864398973383,36,6,,,4.26218163103401
"Bryce Brown","RB","FA",2534796,1991-05-14,0,0,0,0,141,0,31,4,,,3.20636812017905
"Bryce Petty","QB","NYJ",2552369,1991-05-31,0.00610644257703081,0,0.00959633027522936,0.00882180847356258,68,0.00200801184830324,32,1,,,3.86869240520412
"Bryce Treggs","WR","PHI",2556697,1994-04-30,0.391112053249671,0,0.945133118895152,0.784831480313277,168,0.0340568920559548,37,0,,,4.21060709355344
"Buccaneers","DST","TB",100031,,5.1,0,3.60743119266055,2.96361405015748,30,1.18644001233046,18,46,,,3.31479154492194
"C.J. Anderson","RB","DEN",2540269,1991-02-10,15.0889842133568,10.96,17.4449621613851,2.97666165828774,12,0.0930208484439934,5,3,"9.0","2.6",6.16551093969047
"C.J. Fiedorowicz","TE","HOU",2543721,1991-10-22,4.78223129582673,0.99,8.89778588774247,3.47849862829701,35,0.431187231821397,14,2,"28.0","3.7",6.34494155340701
"C.J. Prosise","RB","SEA",2555417,1994-05-20,2.75454810495627,0.819387755102041,3.81071511627907,1.5313623373233,82,0.16598551898653,21,0,"74.6","7.7",6.66100211213353
"C.J. Spiller","RB","SEA",497204,1987-08-15,4.54369282922443,2.57,5.81082750083454,1.49131659312751,59,0.0966347315043432,15,6,"53.0","5.6",5.71334615753356
"C.J. Uzomah","TE","CIN",2552559,1993-01-14,4.0044511766772,0.22,7.61433007949497,3.5156226301639,40,0.3430278239095,14,1,"28.4","5.1",9.22426747824361
"Cairo Santos","K","KC",2550636,1991-11-21,7.45916481812076,2,9.99219590336135,3.11252315313457,22,0.333705153416326,8,2,"12.0","3.4",8.53207575037906
"Caleb Sturgis","K","PHI",2539637,1989-08-09,8.86975997083425,6.7,9.96379360592992,1.59471235802386,8,0.09304356029517,3,3,"15.0","4.9",5.39514279157872
"Cam Newton","QB","CAR",2495455,1989-05-11,24.6522295215535,23.054122681883,26.1566294909286,1.43981856631569,1,4.10032097681864,1,5,,,5.23315672728224
"Cameron Artis-Payne","RB","CAR",2552375,1990-06-23,4.44190326218671,2.63731778425656,5.90709593023256,1.82874326516192,62,0.16805163412974,15,1,"39.8","9.8",7.45197438499632
"Cameron Brate","TE","TB",2550656,1991-07-03,3.59834938101788,0,5.24009481384266,3.79848356591941,42,0.119726959754472,15,2,,,10.1347136686914
"Cameron Marshall","RB","FA",2539199,1991-10-14,0,0,0,,141,0,31,3,,,
"Cameron Meredith","WR","CHI",2553568,1992-09-21,11.5363691535262,7.51115526122149,14.5615799684193,3.09200948057774,34,0.248766544528863,8,1,"39.4","6.0",5.95396142527058
"Cardale Jones","QB","BUF",2555426,1992-09-29,0,0,0,0,73,0.0013493810178817,38,0,,,3.86028075587479
"Cardinals","DST","ARI",100026,,11.1271946555831,9.1,13.0092026578073,2.87079062978709,2,2.41521286628078,2,46,"2.0","1.7",2.80943743721057
"Carlos Hyde","RB","SF",2543743,1991-09-20,13.5230788241904,8.17,16.3070844253211,2.81093367257581,17,0.305966906232452,5,2,"10.9","2.4",4.60954346112287
"Carson Palmer","QB","ARI",2505245,1979-12-27,19.1309068867984,16.502122681883,20.4947262458472,1.54272626330359,7,0.316125205623422,6,13,,,5.33127985735763
"Carson Wentz","QB","PHI",2555259,1992-12-30,16.0697990121766,11.354122681883,17.9937838713035,2.50539054000616,20,0.227223307863605,11,0,"16.4","3.1",5.9047083262959
"Case Keenum","QB","LA",2532888,1988-02-12,12.5392513143831,4.978,14.9162245847176,3.63100768211288,29,2.37814218725591,14,4,"28.8","1.5",4.8632897281595
"Cecil Shorts","WR","TB",2495341,1987-12-22,1.03698443579767,0,2.23514373088685,1.86652153811713,149,0.0401390425675858,35,5,,,5.57064682900902
"Cedric Peerman","RB","CIN",79629,1986-10-10,0,0,0,0,141,0,31,7,,,3.20636812017905
"Chad Henne","QB","JAC",252,1985-07-02,0.153521587301587,0,0.228438532110092,0.12732678437014,58,0.0219907750151872,26,8,,,3.98168763787218
"Chandler Catanzaro","K","ARI",2550325,1991-02-26,7.76250851236507,6.29063082705842,9.00403045412668,1.25967496663227,18,0.0699335423672114,7,2,"7.5","3.2",7.06278851006005
"Chandler Worthy","WR","FA",2553787,1993-09-15,0,0,0,,186,0,44,1,,,
"Charcandrick West","RB","KC",2550268,1991-06-02,3.45229689618352,0.13,5.4488379204893,2.02980284410063,75,0.149279802753113,17,2,,,6.16794394156477
"Chargers","DST","SD",100028,,6.96324764426225,4.7,11.6040863787375,4.10677915892223,18,0.157893813835151,12,46,"21.5","3.5",4.568630830372
"Charles Clay","TE","BUF",2495139,1989-02-13,9.52497265861992,7.68990384615385,10.4958488372093,1.16135274351754,15,0.626747060395804,5,5,"18.2","2.7",3.94188285589209
"Charles Johnson","WR","MIN",2541147,1989-02-27,2.80221458046768,0,4.09262325168574,2.95588395337863,115,0.0561798657024539,32,3,,,6.94033323814136
"Charles Sims","RB","TB",2543770,1990-09-19,4.44845942228336,0,6.7808501529052,5.66254540244735,60,0.00467940461158989,15,2,,,11.4682826209529
"Charlie Whitehurst","QB","FA",2495974,1982-08-06,0.00122128851540616,0,0.00268990825688073,0.00226051135256078,71,0.000610644257703081,33,10,,,3.86243616752986
"Charone Peake","WR","NYJ",2555477,1992-10-16,3.04182435141,0.05,4.36652325581395,1.80633605317848,114,0.252138210083673,31,0,"99.3","6.3",5.26622251358695
"Chase Coffman","TE","IND",71255,1986-11-10,0,0,0,0,107,0,29,7,,,2.9978973666125
"Chase Daniel","QB","PHI",81284,1986-10-07,0.0712660504201681,-0.01,0.137957446808511,0.0847008713156008,63,0.0223151820728291,29,7,,,3.94104356426392
"Chase Ford","TE","FA",2534244,1990-07-19,0,0,0,0,107,0,28,4,,,2.9978973666125
"Chase Reynolds","RB","LA",2531218,1987-10-22,0,0,0,0,141,0,35,4,,,3.20636812017905
"Chester Rogers","WR","IND",2556396,1994-01-12,5.21269333764117,0,7.56690297447605,3.40152010314589,94,0.106976192506334,25,0,"93.3","6.6",6.38957570408915
"Chiefs","DST","KC",100016,,7.22290443091421,5.91412268188302,13.3212367713897,4.036153768058,13,0.0676927737585347,9,46,"14.0","3.7",4.59626894555641
"Chris Boswell","K","PIT",2550545,1989-12-16,10.579598509717,9.09443395364662,12.320146588369,1.84831784396941,2,0.330131738660187,1,2,"9.5","3.6",4.49627440648344
"Chris Conley","WR","KC",2552652,1992-10-25,7.26876934683284,5.54337509211496,8.93813764028525,2.19418404290261,72,0.0881171545128892,15,1,"70.3","9.4",6.27332939529457
"Chris Givens","WR","FA",2535634,1989-12-06,0,0,0,0,186,0,44,4,,,3.2238161073909
"Chris Gragg","TE","BUF",2539202,1990-06-30,0,0,0,0,107,0,28,3,,,2.9978973666125
"Chris Harper","WR","FA",2539246,1989-09-10,0,0,0,,186,0,44,3,,,
"Chris Harper","WR","SF",2553652,1993-12-07,0,0,0,0,186,0,65,1,,,3.2238161073909
"Chris Hogan","WR","NE",2530515,1988-10-24,7.83791542070785,4.89,9.87524459776976,1.97045492529501,65,0.22874019996653,15,5,,,5.70132523857988
"Chris Ivory","RB","JAC",2507999,1988-03-22,6.98588067801229,4.82521391899601,8.95803322259136,2.13023119798641,41,0.151697893552923,10,6,"36.9","3.7",4.57217616391315
"Chris Johnson","RB","ARI",262,1985-09-23,2.74823933975241,0,3.7051036726693,2.97717548273244,83,0.393437912438292,22,8,,,7.55020424756879
"Chris Manhertz","TE","NO",2552622,1992-04-10,0.194572815533981,0,0.415288753799392,0.341467571956793,99,0.0124452875725111,27,0,,,3.63946690137042
"Chris Matthews","WR","BAL",2531049,1989-10-06,0,0,0,0,186,0,46,2,,,3.2238161073909
"Chris Moore","WR","BAL",2555209,1993-06-16,2.07757332267355,0.17,3.08510638297872,1.32471354686751,125,0.00688304150259711,34,0,"104.8","1.9",5.92758772543085
"Chris Owusu","WR","NYJ",2532923,1990-01-06,0.179917469050894,0,0.311070336391437,0.282842712474619,178,0.0123742222876979,41,4,,,3.57944231017816
"Chris Pantale","TE","FA",2539208,1990-03-22,0,0,0,,107,0,28,3,,,
"Chris Polk","RB","HOU",2533037,1989-12-16,1.73620357634113,0,2.74419691329203,2.09727691563466,93,0.0764906427577861,22,4,,,6.26639171909469
"Chris Thompson","RB","WAS",2540011,1990-10-20,6.0345987454792,2.95298833819242,7.63102584497254,1.67418912367286,46,0.13297407058974,11,3,"47.2","3.7",4.23948297039759
"Christian Hackenberg","QB","NYJ",2555416,1995-02-14,0,0,0,0,73,0,38,0,,,3.86028075587479
"Christian Ponder","QB","SF",2495215,1988-02-25,0,0,0,0,73,0,38,5,,,3.86028075587479
"Christine Michael","RB","SEA",2539322,1990-11-09,15.1539894410989,10.52,17.727435252352,2.83657076654354,11,0.0841427115221602,5,3,"10.0","3.9",5.20227235031375
"Clark Harris","TE","CIN",2495620,1984-07-10,0,0,0,0,107,0,28,9,,,2.9978973666125
"Clay Harbor","TE","DET",497242,1987-07-02,1.53751091703057,0,3.11512462006079,2.07972595924597,63,0.0618766762815837,21,6,,,6.90540989686893
"Clive Walford","TE","OAK",2552397,1991-10-21,7.99895450154868,6,9.53473329728782,1.95660755889955,21,0.506007371939993,8,1,,,6.67408774121666
"Coby Fleener","TE","NO",2532838,1988-09-20,10.9507064453811,9.18,12.0538013502455,1.38562933122204,11,0.369098253344831,4,4,"10.0","2.4",4.12025163442485
"Cody Core","WR","CIN",2555331,1994-04-17,0.167473684210526,0,0.326587348392122,0.240338383338459,180,0.0303354966374983,41,0,,,3.52600040587572
"Cody Kessler","QB","CLE",2555387,1993-05-11,11.9731481029477,0,12.480285,4.69977722676814,30,4.19948188594891,15,0,,,8.34154761584331
"Cody Latimer","WR","DEN",2543590,1992-10-10,2.0336913093389,0.27,3.0310718539528,1.13794923177786,128,0.0225260440203057,34,2,"110.5","4.4",4.24344157514809
"Cody Parkey","K","CLE",2550380,1992-02-19,7.47496023633709,6.0406718027735,8.15338005238829,0.904339655017151,21,0.0574251591186661,8,2,"26.6","3.9",3.90128308864145
